desig,popular,type,con,ra_h,dec_deg,size_arcmin,mag,magband,sb
NGC4789A,,GAL_IRR,Com,12.90139,27.1494,1.9,13.95,V,23.87
NGC4863,,GAL_S0A,Vir,12.99472,-14.0294,1.9,15.0,B,24.75
NGC5081,,GAL_SA,Com,13.31889,28.5067,1.9,14.3,B,23.64
NGC5420,,GAL_SA,Vir,14.06667,-14.6167,1.9,13.0,B,23.32
IC984,,GAL_SA,Boo,14.16889,18.3644,1.9,14.5,B,23.61
NGC5720,,GAL_SB,Boo,14.6425,50.815,1.9,14.7,B,24.27
NGC6095,,GAL_ES0,Dra,16.18639,61.2678,1.9,14.5,B,23.77
NGC6086,,GAL_E,CrB,16.21,29.4847,1.9,14.8,B,24.06
NGC6721,,GAL_E,Pav,19.01417,-57.7592,1.9,12.04,V,23.33
IC5199,,GAL_SA,Gru,22.32556,-37.5339,1.9,14.72,B,23.72
NGC7512,,GAL_E,Peg,23.20556,31.1256,1.9,14.1,B,24.28
NGC7783,,GAL_PAIR,Psc,23.90306,0.3797,1.9,,V,
IC1531,,GAL_ES0,Scl,0.16,-32.2767,1.89,13.48,B,23.6
NGC1667,,GAL_SAB,Eri,4.81028,-6.32,1.89,12.86,V,22.68
NGC2857,,GAL_SA,UMa,9.41056,49.3569,1.89,12.27,V,22.92
IC610,,GAL_SA,Leo,10.44083,20.2281,1.89,14.8,B,23.58
NGC3250D,,GAL_S0,Ant,10.46583,-39.8144,1.89,14.32,B,24.36
NGC3905,,GAL_SA,Crt,11.81806,-9.7294,1.89,13.0,B,23.21
NGC4480,,GAL_SAB,Vir,12.5075,4.2464,1.89,13.4,B,22.68
NGC5031,,GAL_S0A,Vir,13.23417,-16.1231,1.89,14.0,B,24.18
NGC5362,,GAL_SA,CVn,13.91444,41.3133,1.89,13.2,B,22.85
NGC5937,,GAL_SAB,---,15.51278,-2.8292,1.89,13.1,B,22.79
NGC6004,,GAL_SA,---,15.83944,18.9392,1.89,13.4,B,23.41
IC1158,,GAL_SAB,---,16.02583,1.7078,1.89,13.2,B,23.38
NGC6060,,GAL_SAB,Her,16.09778,21.4847,1.89,14.3,B,23.7
NGC7097,,GAL_E,Gru,21.67028,-42.5392,1.89,11.71,V,22.85
IC5266,,GAL_SA,Tuc,22.9725,-65.1294,1.89,14.67,B,23.85
IC1596,,GAL_SA,Psc,0.91167,21.5225,1.88,15.1,B,24.53
NGC491A,,GAL_SA,Scl,1.33444,-33.8992,1.88,14.32,B,23.72
NGC1056,,GAL_SA,Ari,2.71306,28.5742,1.88,13.5,B,23.36
IC1858,,GAL_S0A,For,2.81889,-31.2894,1.88,14.15,B,24.22
NGC1107,,GAL_S0,Cet,2.82194,8.0925,1.88,14.1,B,23.59
NGC1217,,GAL_SA,For,3.10167,-39.0364,1.88,13.34,B,23.36
NGC1393,,GAL_S0,Eri,3.64417,-18.4281,1.88,12.02,V,23.11
IC2132,,GAL_SAB,Lep,5.54139,-13.9269,1.88,14.15,B,23.81
NGC1979,,GAL_ES0,Lep,5.56667,-23.3097,1.88,12.85,B,23.04
IC499,,GAL_SA,Cam,8.75444,85.74,1.88,13.5,B,23.56
IC2536,,GAL_GENERIC,Ant,10.05806,-33.9494,1.88,14.57,B,23.44
NGC4270,,GAL_S0,Vir,12.33028,5.4633,1.88,13.3,B,23.02
IC4264,,GAL_SA,Hya,13.505,-27.9281,1.88,14.98,B,23.81
IC4350,,GAL_S0A,Hya,13.95389,-25.2456,1.88,13.7,B,23.74
NGC5665,,GAL_SA,Boo,14.54056,8.0786,1.88,12.6,B,22.45
IC1231,,GAL_SA,Dra,16.78306,58.4231,1.88,13.2,V,23.23
NGC6667,,GAL_SAB,Dra,18.51083,67.9869,1.88,13.7,B,23.33
IC5148,,PLANETARY,Gru,21.99306,-39.3856,1.88,11.0,V,
NGC7173,,GAL_E,PsA,22.03417,-31.9733,1.88,12.1,B,23.14
NGC214,,GAL_SAB,And,0.69083,25.4992,1.87,13.0,B,22.74
IC1698,,GAL_S0,Psc,1.42278,14.8386,1.87,14.43,B,24.86
NGC787,,GAL_SA,Cet,2.01333,-9.0022,1.87,13.0,B,23.38
NGC941,,GAL_SAB,Cet,2.47417,-1.1517,1.87,12.8,B,22.85
NGC959,,GAL_SA,Tri,2.54,35.4944,1.87,12.38,V,22.61
NGC1284,,GAL_S0,Eri,3.29583,-10.2892,1.87,14.0,B,24.43
NGC1483,,GAL_SB,Hor,3.87972,-47.4772,1.87,13.23,B,23.12
NGC1602,,GAL_SB,Dor,4.46528,-55.0578,1.87,13.33,V,22.94
NGC1705,,GAL_ES0,Pic,4.90389,-53.3608,1.87,12.56,V,22.89
NGC2493,,GAL_S0,Lyn,8.00667,39.8303,1.87,13.1,B,23.21
NGC2523B,,GAL_SA,Cam,8.21556,73.5631,1.87,14.8,B,23.53
NGC2758,,GAL_SB,Hya,9.09167,-19.0428,1.87,13.99,B,23.03
NGC2845,,GAL_S0A,Vel,9.31028,-38.0097,1.87,13.67,B,23.21
